0,1
generations,200
cross_over_prob,0.95
mutation_prob,0.9
population_size,30
chromosome_bits,23
elitism,True

G,1-Máx,2-Mín,3-Promedio,4-Total,5-Rango,6-Cromosoma,7-Estable
86,6.656460094521733e-05,3.8021368008820954e-05,5.312442463989595e-05,0.0015937327391968785,2.8543232936396376e-05,"[17, 13, 16, 7, 6, 9, 5, 8, 3, 2, 1, 4, 0, 19, 22, 21, 20, 18, 15, 12, 14, 11, 10]",78
87,6.754018641091449e-05,4.2170961076202926e-05,5.2064305387572904e-05,0.0015619291616271872,2.5369225334711564e-05,"[17, 13, 16, 10, 6, 9, 5, 8, 1, 2, 3, 4, 0, 19, 22, 21, 20, 18, 15, 12, 14, 11, 7]",87
88,6.754018641091449e-05,3.9278840488628774e-05,5.143258723060684e-05,0.0015429776169182052,2.8261345922285716e-05,"[17, 13, 16, 10, 6, 9, 5, 8, 1, 2, 3, 4, 0, 19, 22, 21, 20, 18, 15, 12, 14, 11, 7]",87
89,6.656460094521733e-05,3.618861506170159e-05,5.023305334356052e-05,0.0015069916003068156,3.037598588351574e-05,"[17, 13, 16, 7, 9, 6, 5, 8, 3, 2, 1, 4, 0, 19, 22, 21, 20, 18, 15, 12, 14, 11, 10]",89
90,6.656460094521733e-05,3.3768952824772905e-05,5.1287055040072366e-05,0.001538611651202171,3.2795648120444425e-05,"[17, 13, 16, 7, 9, 6, 5, 8, 3, 2, 1, 4, 0, 19, 22, 21, 20, 18, 15, 12, 14, 11, 10]",89
91,6.656460094521733e-05,3.642854540818185e-05,5.053978183978846e-05,0.0015161934551936537,3.0136055537035478e-05,"[17, 13, 16, 7, 9, 6, 5, 8, 3, 2, 1, 4, 0, 19, 21, 22, 20, 18, 15, 12, 14, 11, 10]",91
92,6.656460094521733e-05,3.7052132350216754e-05,5.027776671367751e-05,0.0015083330014103254,2.9512468595000576e-05,"[17, 13, 16, 7, 9, 6, 5, 8, 3, 2, 1, 4, 0, 19, 21, 22, 20, 18, 15, 12, 14, 11, 10]",91
93,6.656460094521733e-05,3.615198293626405e-05,4.9754839107391127e-05,0.0014926451732217337,3.0412618008953277e-05,"[17, 13, 16, 7, 9, 6, 5, 8, 3, 2, 1, 4, 0, 19, 21, 22, 20, 18, 15, 12, 14, 11, 10]",91
94,6.656460094521733e-05,3.57347055460263e-05,4.876364087722966e-05,0.0014629092263168898,3.082989539919103e-05,"[17, 13, 16, 7, 9, 6, 5, 8, 3, 2, 1, 4, 0, 19, 21, 22, 20, 18, 15, 12, 14, 11, 10]",91
95,6.656460094521733e-05,3.593502946672416e-05,4.987157288782671e-05,0.0014961471866348011,3.062957147849317e-05,"[17, 13, 16, 7, 9, 6, 5, 8, 3, 2, 1, 4, 0, 19, 21, 22, 20, 18, 15, 12, 14, 11, 10]",91
96,6.656460094521733e-05,3.074085459575776e-05,4.776365839135665e-05,0.0014329097517406994,3.582374634945957e-05,"[17, 13, 16, 7, 9, 6, 5, 8, 3, 2, 1, 4, 0, 19, 21, 22, 20, 18, 15, 12, 14, 11, 10]",91
97,6.656460094521733e-05,3.074085459575776e-05,4.791927286482203e-05,0.001437578185944661,3.582374634945957e-05,"[17, 13, 16, 7, 9, 6, 5, 8, 3, 2, 1, 4, 0, 19, 21, 22, 20, 18, 15, 12, 14, 11, 10]",91
98,6.656460094521733e-05,2.9852528509164728e-05,4.865504668837538e-05,0.0014596514006512615,3.67120724360526e-05,"[17, 13, 16, 7, 6, 9, 5, 8, 3, 2, 1, 4, 0, 19, 21, 22, 20, 18, 15, 12, 14, 11, 10]",98
99,6.656460094521733e-05,3.02929326588107e-05,4.860575840231349e-05,0.0014581727520694048,3.627166828640663e-05,"[17, 13, 16, 7, 9, 6, 5, 8, 3, 2, 1, 4, 0, 19, 21, 22, 20, 18, 15, 12, 14, 11, 10]",99
100,6.656460094521733e-05,3.382721060821325e-05,5.19284978164185e-05,0.001557854934492555,3.273739033700408e-05,"[17, 13, 16, 7, 9, 6, 5, 8, 3, 2, 1, 4, 0, 19, 21, 22, 20, 18, 15, 12, 14, 11, 10]",99
101,6.656460094521733e-05,3.262004175365344e-05,4.9428965584349384e-05,0.0014828689675304815,3.394455919156389e-05,"[17, 13, 16, 7, 9, 6, 5, 8, 3, 2, 1, 4, 0, 19, 21, 22, 20, 18, 15, 12, 14, 11, 10]",99
